Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
64,Yves Bissouma,ml MLI,MF,Brighton,23,1996,36,35,"3,111",34.6,1,0,1,0,0,8,1,0.03,0,0.03,0.03,0.03,1.2,1.2,1,2.2,0.04,0.03,0.06,0.04,0.06,Matches
65,Jayden Bogle,eng ENG,DF,Sheffield Utd,20,2000,16,12,"1,110",12.3,2,0,2,0,0,2,0,0.16,0,0.16,0.16,0.16,1.8,1.8,0.2,2,0.14,0.01,0.16,0.14,0.16,Matches
66,Willy Boly,ci CIV,DF,Wolves,29,1991,21,21,"1,879",20.9,1,1,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,1.1,1.1,0.4,1.6,0.05,0.02,0.07,0.05,0.07,Matches
67,Jarrod Bowen,eng ENG,"FW,MF",West Ham,23,1996,38,30,"2,562",28.5,8,5,8,0,0,0,0,0.28,0.18,0.46,0.28,0.46,6.3,6.3,4.6,10.8,0.22,0.16,0.38,0.22,0.38,Matches
68,Robbie Brady,ie IRL,MF,Burnley,28,1992,19,12,"1,052",11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15,Matches
69,Rhian Brewster,eng ENG,FW,Sheffield Utd,20,2000,27,12,"1,128",12.5,0,0,0,0,0,1,0,0,0,0,0,0,1.7,1.7,1.7,3.4,0.14,0.13,0.27,0.14,0.27,Matches
70,Nathan Broadhead,wal WAL,MF,Everton,22,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Josh Brownhill,eng ENG,MF,Burnley,24,1995,33,32,"2,813",31.3,0,1,0,0,0,2,0,0,0.03,0.03,0,0.03,1.9,1.9,1.1,3,0.06,0.04,0.1,0.06,0.1,Matches
72,Joe Bryan,eng ENG,"DF,FW",Fulham,26,1993,16,7,669,7.4,1,0,1,0,0,2,0,0.13,0,0.13,0.13,0.13,0.4,0.4,0.4,0.8,0.05,0.06,0.11,0.05,0.11,Matches
73,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,13,12,"1,004",11.2,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07,Matches
74,Oliver Burke,sco SCO,FW,Sheffield Utd,23,1997,25,14,"1,269",14.1,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,1.8,4.2,0.17,0.13,0.3,0.17,0.3,Matches
75,Dan Burn,eng ENG,DF,Brighton,28,1992,27,23,"2,061",22.9,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,1.5,1.5,1,2.5,0.06,0.04,0.11,0.06,0.11,Matches
76,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,David Button,eng ENG,GK,West Brom,31,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Oskar Buur,dk DEN,DF,Wolves,22,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20,20,"1,800",20,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,0.7,0.7,0.7,1.4,0.03,0.04,0.07,0.03,0.07,Matches
81,Tom Cairney,sco SCO,MF,Fulham,29,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,Matches
82,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,33,32,"2,871",31.9,16,0,16,0,0,3,0,0.5,0,0.5,0.5,0.5,15.4,15.4,2,17.5,0.48,0.06,0.55,0.48,0.55,Matches
83,João Cancelo,pt POR,DF,Manchester City,26,1994,28,27,"2,299",25.5,2,3,2,0,0,5,1,0.08,0.12,0.2,0.08,0.2,2,2,4.9,6.9,0.08,0.19,0.27,0.08,0.27,Matches
84,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,20,2000,14,0,355,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2,0.09,0.21,0.3,0.09,0.3,Matches
85,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,18,4,392,4.4,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,Matches
86,Scott Carson,eng ENG,GK,Manchester City,34,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Fabio Carvalho,eng ENG,"MF,FW",Fulham,17,2002,4,3,255,2.8,1,0,1,0,0,0,0,0.35,0,0.35,0.35,0.35,1.1,1.1,0.4,1.5,0.4,0.13,0.53,0.4,0.53,Matches
88,Matty Cash,eng ENG,DF,Aston Villa,22,1997,28,28,"2,372",26.4,0,2,0,0,0,8,1,0,0.08,0.08,0,0.08,0.3,0.3,2.2,2.5,0.01,0.08,0.1,0.01,0.1,Matches
89,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Timothy Castagne,be BEL,DF,Leicester City,24,1995,27,27,"2,345",26.1,2,3,2,0,0,1,0,0.08,0.12,0.19,0.08,0.19,1.3,1.3,2,3.3,0.05,0.08,0.13,0.05,0.13,Matches
91,Jonny Castro,es ESP,DF,Wolves,26,1994,7,7,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
92,Ivan Cavaleiro,pt POR,"FW,MF",Fulham,26,1993,36,27,"2,472",27.5,3,0,2,1,2,2,0,0.11,0,0.11,0.07,0.07,5.4,4.7,3.4,8,0.2,0.12,0.32,0.17,0.29,Matches
